filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
100 - Ensemble -  Brass Stab.acp,Ensemble,Ensemble / Brass Stab,5.54,-3.31,8.85,0.000002,0.8069,1247.4,0.0587,0.8134,0.1279,2.930,90.3,0.6090,90704,hard clipping (90704 samples); loop seam click 0.609
101 - Ensemble -  Warm Brass.acp,Ensemble,Ensemble / Warm Brass,6.05,-5.88,11.92,-0.000009,0.7347,4298.6,0.0390,0.3992,0.5618,2.461,221.9,0.0993,28112,hard clipping (28112 samples)
102 - Ensemble -  Mellow Horn.acp,Ensemble,Ensemble / Mellow Horn,8.10,-2.61,10.71,-0.000005,0.6697,2599.8,0.0185,0.5533,0.4282,2.517,113.3,0.3965,114441,hard clipping (114441 samples); loop seam click 0.396
103 - Ensemble -  Reed Ensemble.acp,Ensemble,Ensemble / Reed Ensemble,-7.28,-21.98,14.70,0.000000,0.7373,5966.1,0.0002,0.2865,0.7133,3.597,279.7,0.5694,0,loop seam click 0.569
104 - Ensemble -  Organ Ensemble.acp,Ensemble,Ensemble / Organ Ensemble,6.02,-3.68,9.70,0.000002,0.7975,1633.1,0.0121,0.7500,0.2379,3.247,151.1,0.3084,79414,hard clipping (79414 samples); loop seam click 0.308
105 - Ensemble -  Choir Vowel.acp,Ensemble,Ensemble / Choir Vowel,-7.25,-24.18,16.93,0.000000,0.6812,6935.1,0.0001,0.2310,0.7689,3.146,400.4,0.4422,0,loop seam click 0.442
106 - Ensemble -  Breathy Ensemble.acp,Ensemble,Ensemble / Breathy Ensemble,-8.58,-23.40,14.82,-0.000000,0.6783,8708.1,0.0001,0.1634,0.8365,3.244,531.4,0.0340,0,
107 - Ensemble -  Synth Brass.acp,Ensemble,Ensemble / Synth Brass,6.56,-5.04,11.61,-0.000001,0.7341,4079.7,0.0372,0.4533,0.5095,3.212,240.9,0.1677,44403,hard clipping (44403 samples)
108 - Ensemble -  Trem String.acp,Ensemble,Ensemble / Trem String,2.21,-11.46,13.67,-0.000008,0.6618,5694.9,0.0483,0.3043,0.6474,3.158,250.8,0.0678,246,hard clipping (246 samples)
109 - Ensemble -  Attack String.acp,Ensemble,Ensemble / Attack String,5.28,-6.22,11.50,-0.000001,0.8241,4867.0,0.0408,0.3510,0.6082,2.768,206.4,0.8782,21557,hard clipping (21557 samples); loop seam click 0.878
110 - Ensemble -  Lo-Fi Choir.acp,Ensemble,Ensemble / Lo-Fi Choir,8.59,-2.62,11.21,-0.000007,0.7977,2347.4,0.0415,0.7655,0.1930,2.183,238.8,0.6255,112739,hard clipping (112739 samples); loop seam click 0.626
111 - Ensemble -  Stacked Saw.acp,Ensemble,Ensemble / Stacked Saw,6.44,-5.63,12.07,0.000009,0.7825,4694.6,0.0398,0.3969,0.5633,2.849,233.0,0.9452,30748,hard clipping (30748 samples); loop seam click 0.945
112 - Ensemble -  Cinematic Ensemble.acp,Ensemble,Ensemble / Cinematic Ensemble,3.91,-8.49,12.40,0.000003,0.7816,1827.0,0.0107,0.6735,0.3158,4.119,136.3,0.1892,5087,hard clipping (5087 samples)
113 - FX -  Riser.acp,FX,FX / Riser,4.89,-11.21,16.10,0.000014,0.7028,5121.2,0.0773,0.2867,0.6359,4.120,1426.1,0.3934,1522,hard clipping (1522 samples); loop seam click 0.393
114 - FX -  Downer.acp,FX,FX / Downer,6.27,-8.40,14.67,0.000012,0.6703,5944.5,0.0521,0.2382,0.7097,3.440,1501.6,0.0578,6697,hard clipping (6697 samples)
115 - FX -  Impact Tone.acp,FX,FX / Impact Tone,3.76,-5.18,8.94,-0.000044,0.8565,1968.4,0.0037,0.7685,0.2277,2.221,249.6,0.5802,24932,hard clipping (24932 samples); loop seam click 0.580
116 - FX -  Reverse Wash.acp,FX,FX / Reverse Wash,5.52,-5.92,11.44,-0.000007,0.7595,3976.7,0.0133,0.5541,0.4326,3.179,516.7,0.3305,18784,hard clipping (18784 samples); loop seam click 0.330
117 - FX -  Noise Sweep.acp,FX,FX / Noise Sweep,3.22,-13.81,17.03,0.000020,0.5445,2664.4,0.5745,0.1749,0.2506,3.623,2738.3,0.3203,106,hard clipping (106 samples); loop seam click 0.320
118 - FX -  Drone.acp,FX,FX / Drone,-7.71,-29.23,21.52,-0.000000,0.5398,8921.5,0.0093,0.1081,0.8827,3.178,656.0,1.6627,0,loop seam click 1.663
119 - FX -  Glitch Tone.acp,FX,FX / Glitch Tone,4.13,-10.24,14.37,0.000143,0.6953,7330.9,0.0383,0.2519,0.7098,2.644,336.0,0.1366,2248,hard clipping (2248 samples)
120 - FX -  Sci-Fi Ping.acp,FX,FX / Sci-Fi Ping,1.99,-9.41,11.40,0.000032,0.9180,1201.2,0.0035,0.8072,0.1893,3.334,169.7,0.1599,1273,hard clipping (1273 samples)
121 - FX -  Vinyl Texture.acp,FX,FX / Vinyl Texture,1.30,-8.78,10.09,0.000020,0.8442,4346.9,0.0106,0.5794,0.4099,3.113,502.5,0.4188,117,hard clipping (117 samples); loop seam click 0.419
122 - FX -  Tape Wobble.acp,FX,FX / Tape Wobble,2.11,-6.39,8.50,0.000032,0.8130,4253.5,0.0159,0.5891,0.3950,3.050,485.7,0.3789,6711,hard clipping (6711 samples); loop seam click 0.379
123 - FX -  Alarm Tone.acp,FX,FX / Alarm Tone,0.85,-16.36,17.21,0.000000,0.6090,10775.5,0.0005,0.0311,0.9685,5.681,864.6,0.0212,4,
124 - FX -  Pulse Drone.acp,FX,FX / Pulse Drone,-4.74,-22.65,17.91,0.000000,0.5870,11454.8,0.0006,0.0323,0.9671,2.763,743.7,0.2796,0,
125 - FX -  Shimmer Hit.acp,FX,FX / Shimmer Hit,1.85,-11.38,13.22,0.000008,0.9066,1160.3,0.0044,0.8096,0.1860,3.015,93.4,0.0474,288,hard clipping (288 samples)
126 - FX -  Gated Texture.acp,FX,FX / Gated Texture,0.69,-13.35,14.03,0.000016,0.6710,7310.7,0.0304,0.2578,0.7118,2.564,265.8,0.2943,18,hard clipping (18 samples)
127 - FX -  Unstable Texture.acp,FX,FX / Unstable Texture,6.34,-2.88,9.22,0.000137,0.6135,3700.8,0.1578,0.3759,0.4662,1.537,360.9,1.5900,79632,hard clipping (79632 samples); loop seam click 1.590
128 - FX -  Sample Showcase.acp,FX,FX / Sample Showcase,2.25,-9.90,12.15,0.000028,0.8922,1194.8,0.0036,0.8067,0.1897,3.263,192.8,0.2763,654,hard clipping (654 samples)
